Bug Reports list			
Priority	Summary	Description	Steps to reproduce
High	Опечатка в иконке приложения после установки 	Опечатка в иконке приложения после установки 	"1. Установить TradingView-TestApp.apk
2. Перейти на экран с иконкой установленного приложения"
High	Невозможно переименовать название Watchlist на экране "Каталог списка котировок" при попытке изменения имени	Невозможно переименовать название Watchlist на экране "Каталог списка котировок" при попытке изменения его имени	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Кликнуть по кнопке открытия каталога списка котировок (Watchlist catalog)
5. Зажать ячейку в каталоге с названием ""Watchlist"" и сделать свайп справа налево 
6. Кликнуть на кнопку перехода в  режим редактирования названия вочлиста (карандаш)
7. С помощью экранной клавиатуры ввести Abcd1
8. Нажать галочку в правом верхнем углу экрана для подтверждения
"
Blocker	Невозможно удалить Watchlist в каталоге списка котировок (Watchlist catalog) при попытке удаления	Невозможно удалить Watchlist в каталоге списка котировок (Watchlist catalog) При попытке удаления, приложение крашится/вылетает	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Кликнуть по кнопке открытия каталога списка котировок (Watchlist catalog)
5. Нажать и удерживать ячейку ""Watchlist""  и сделать свайп справа налево 
6. Кликнуть на кнопку удаления вочлиста (корзина)
7. Нажать кнопку ""OK"" "
Low	Цвет показателей изменения котировок некорректен на экране списка котировок	"Цвет показателей изменения котировок некорректен на экране списка котировок.
Изменение в сторону повышения должно быть подсвечено зеленым цветом, а изменение в сторону понижения красным. Цвета нужно поменять местами"	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Обратить внимание на отображение цвета изменений котировок на экране списка котировок "
Medium	Сортировка "Sort by Symbol" не сортирует список по алфавиту в режиме редактирования текущего Watchlist	Сортировка "Sort by Symbol" не сортирует список по алфавиту в режиме редактирования текущего Watchlist	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Кликнуть на кнопку перехода в режим редактирования текущего Watchlist
5. Во всплывающем окне кликнуть ""Sort by Symbol""
6. Обратить внимание на порядок отображения символов в данном режиме не по алфавиту"
High	Названия категорий Symbols при редактировании текущего Watchlist меняют местоположение	При выборе сортировки по "sort by change %" названия категорий Symbols (###Indicies, ###Stocks) меняют местоположение, каждая категория должна соответствовать своему Symbol (Внизу под ###Indicies должны быть Symbol, относящиеся к категории индексов ит.д)	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Кликнуть на кнопку перехода в режим редактирования текущего Watchlist
5. Во всплывающем окне кликнуть ""Sort by Change""
6. Обратить внимание на изменившееся местоположение подразделов категорий символов (начинаются с ###)"
Low	Не отрабатывается смена ориентации на экране приложения при повороте смартфона	Не отрабатывается смена ориентации на экране приложения при повороте смартфона при включенном режиме автоповорота	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Включить режим автоповорота на смартфоне
4. Повернуть смартфон в в режим альбомной ориентации"
High	Перезагрузка приложения при введении спецсимволов в поле поиска на экране Symbol Search	При добавлении Symbol в поле поиска на экране Symbol Search в вочлист и введении спецсимволов или эмоджи в строку запроса  приложение перезагружается	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Кликнуть на кнопку открытия экрана поиска символов в правом верхнем углу (+)
5. В появившееся поле ""Search"" с экранной клавиатуры ввести спецсимвол "","""
High	Не восстанавливается сессия приложения при переключении сети передачи данных в смартфоне	"При отключении передачи данных по сети смартфона и последующем возврате подключения приложение зависает отображая ""connection error"", сессия приложения не восстанавливается

"	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Деактивировать передачу данных по мобильной связи или WI-FI смартфона
5. Активировать  передачу данных по мобильной связи или WI-FI смартфона"
Low	Запрос на обновление на главном кране приложения при отсутствии возможности обновления	При запуске приложения сразу появляется всплывающее окно с запросом на обновление приложения при отсутствии приложения в магазине приложений playmarket	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке"
Low	Обрезка Symbol внизу экрана внизу списка на экране списка котировок (Watchlist)	"На экране списка котировок (Watchlist)
при пролистывании списка до конца вниз обрезается Symbol находящийся внизу экрана"	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Пролистать экран списка котировок вниз до конца
5. Обратить внимание на Symbol, который находится внизу"
Medium	Пустое название перезагружает приложение на экране редактирования названия нового Watchlist 	При создании нового Watchlist на экране каталога списка котировок (Watchlist catalog) при оставлении поля для ввода его названия пустым после нажатия кнопки "Сreate" приложение перезагружается	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно, нажав крестик в правом верхнем углу экрана
4. Кликнуть по кнопке открытия каталога списка котировок (Watchlist catalog)
5. Нажать на ""+"" в правом верхнем углу экрана
6. Не вводя никаких значений нажать кнопку ""Create"""
Low	Допускается название с более 31 символом на экране редактирования названия Watchlist при сохранении 	Допускается создать Watchlist с более чем 31 символом в названии, что противоречит требованиям к названию	"1. Установить TradingView-TestApp.apk
2. Запустить приложение, кликнув по иконке
3. Закрыть всплывающее окно о том, что текущая версия приложения не поддерживатеся, нажав крестик в правом верхнем углу экрана
4. Кликнуть по кнопке открытия каталога списка котировок (Watchlist catalog)
5. Нажать на ""+"" в правом верхнем углу экрана
6. Ввести в поле имени A1cA1cA1cA1cA1cA1cA1cA1cA1cA1cA
7. Нажать кнопку ""Create""
8. Обратить внимание на возможность сохранения с превышением"
